mode,ts,az,el,az_actual,el_actual,az_enc,az_tgt,az_err,el_enc,el_tgt,el_err,wind,wind_thr,wind_raw,wind_v,imu_pitch,imu_roll,imu_yaw,imu_ax,imu_ay,imu_az,imu_el_diff,imu_el_alert,imu_enc_az,imu_vs_enc,imu_gx,imu_gy,imu_gz,lat,lon,gps_valid,gps_sats,gps_hdop,gps_age,gps_chars,rtc_h,rtc_m,rtc_s,rtc_d,rtc_mo,rtc_y,day_start,day_end,prox_az,prox_el,el_full,ishome,is_homing,night_park,wind_park_az,wind_park_el,wind_cool,imu_alarm,imu_ok,synced,step_az,step_el,tc_temp,tc_cj,tc_ok,tc_fault,ds_temp,ds_ok,night_done,moving_home,nudge_cnt,az_home_miss,el_home_miss,el_nudge_cnt,,
5/20/2026 11:18,auto,660000,0,0,131.6,50.7,10093,10223,-95,4926,4929,-38,11.7,12,868,2.658,1.31,-3.9,132.5,0.158,-0.008,0.926,2.1,0,133.5,-1.6,1.74,-2.95,4.28,18.52043,73.856743,1,9,0.69,68,37235,0,11,0,20,5,2026,1,6,18,1,1,1,0,0,1,1,0,0,0,1,1,30,25,250.2,100010,1,0,23.6,1,0,1,329,0,1,4
5/20/2026 11:19,auto,720000,0,0,127.7,49.8,10045,10046,-16,4774,4674,13,10.1,12,688,1.722,-2.72,-4,128.6,0.711,0.088,1.038,3.8,0,127.6,1.2,-0.9,3.98,2.11,18.52043,73.856743,1,9,1.86,120,24566,0,12,0,20,5,2026,1,6,18,1,0,0,0,1,0,0,1,0,1,1,1,67,16,261.3,10100,1,0,28.1,1,1,1,359,0,1,0
5/20/2026 11:20,auto,780000,0,0,124,54.5,10053,10200,21,4839,4924,41,8.4,12,784,2.863,3.87,-3.81,122.1,0.566,-0.388,0.927,4,0,122.4,1.1,3.85,-0.06,-1.22,18.52043,73.856743,1,8,1.14,160,28021,0,13,0,20,5,2026,1,6,18,0,1,1,1,0,0,0,0,0,0,1,1,62,77,259.1,100111,1,0,27.6,1,1,0,389,0,1,3
5/20/2026 11:21,auto,840000,0,0,130.6,54.3,10073,9993,71,4915,5012,-23,7.4,12,421,1.721,-4.65,-3.36,131.7,-0.632,0.719,0.973,3.8,1,132.8,-1.2,3.26,-0.55,2.33,18.52043,73.856743,1,9,1.98,177,21756,0,14,0,20,5,2026,1,6,18,1,1,0,0,0,1,1,0,0,1,1,1,67,1,257,10111,1,0,27.4,1,0,1,419,0,0,3
5/20/2026 11:22,auto,900000,0,0,128.7,55.5,10358,10403,63,4962,4921,-40,12.8,12,671,1.949,4.99,-2.67,127.8,-0.647,-0.918,0.96,3.4,1,128.1,0.6,1.87,-3.49,2.79,18.52043,73.856743,1,8,1.89,298,41988,0,15,0,20,5,2026,1,6,18,1,1,1,0,0,0,0,1,0,0,1,1,55,7,256.1,100100,1,0,24.3,1,0,0,449,1,0,4
5/20/2026 11:23,auto,960000,0,0,129.8,52.2,10475,10563,-93,4947,5024,19,13.5,12,549,2.357,-4.85,-1.79,131.2,0.022,-0.618,0.965,2.6,0,130.9,1.3,-2.28,0.95,-2.98,18.52043,73.856743,1,12,1.55,64,48360,0,16,0,20,5,2026,1,6,18,0,1,0,0,0,1,1,0,0,0,1,1,98,51,251,11100,1,0,28.3,1,1,1,479,0,1,8
5/20/2026 11:24,auto,1020000,0,0,145.6,52.6,10476,10278,-51,5039,5045,-44,9.8,12,636,3.935,4.25,-0.79,144.3,-0.072,0.757,0.945,2.8,1,143.5,-0.9,4.95,-4.62,-1.91,18.52043,73.856743,1,8,1.01,289,48586,0,17,0,20,5,2026,1,6,18,1,0,0,0,0,1,0,1,0,1,1,1,34,94,262,100010,1,0,26.2,1,1,1,509,0,0,9
5/20/2026 11:26,manual,1038000,0,0,143.6,50.5,10640,10786,-90,5098,5176,-40,7.5,12,405,4.846,4.78,-1.95,143.8,0.752,0.07,0.946,1.2,1,144.5,0.3,-0.11,1.03,-0.4,18.52043,73.856743,1,9,1.68,163,13196,0,17,18,20,5,2026,1,6,18,1,0,1,1,0,1,0,1,0,1,1,1,88,37,268.3,100110,1,0,25.8,1,0,1,518,0,1,3
5/20/2026 11:27,auto,1092000,0,0,147.1,56,10501,10690,67,5194,5285,3,8.3,12,876,3.946,-4.78,1.95,148.9,-0.329,0.871,1.091,2.6,0,149.5,-0.6,0.2,0.42,-1.94,18.52043,73.856743,1,6,1.61,143,16505,0,18,12,20,5,2026,1,6,18,0,1,1,0,1,0,0,0,1,1,1,1,83,94,262,11001,1,0,28.5,1,0,0,545,1,1,2
5/20/2026 11:28,auto,1226000,0,0,125.2,45.7,10520,10577,20,5241,5268,49,9.9,12,643,3.164,3.51,-3.19,126.8,-0.976,-0.795,1.074,0.5,0,125.3,1.3,0.34,-2.23,1.05,18.52043,73.856743,1,12,1.1,180,15909,0,20,26,20,5,2026,1,6,18,1,1,0,0,0,0,1,0,0,0,1,1,94,24,236.5,100001,1,0,30.3,1,1,0,612,1,1,7
5/20/2026 11:29,manual,1286000,0,0,110.3,39.3,10446,10399,17,5102,5118,17,5.4,12,566,4.578,-4.43,-3.71,112.5,-0.945,0.53,1.012,2.9,1,111.4,1.9,1.18,-2.2,4.97,18.52043,73.856743,1,6,0.82,132,12985,0,21,26,20,5,2026,1,6,18,1,0,1,0,0,1,0,1,1,0,1,1,90,56,229.1,11110,1,0,32.2,1,0,0,642,1,1,1
5/20/2026 11:30,auto,1346000,0,0,122.7,37.7,10544,10627,79,5069,5010,-29,8.9,12,529,2.432,4.93,-3.97,121.9,-0.273,0.104,0.909,3.9,0,122.7,-0.4,-0.91,-4.33,-4.92,18.52043,73.856743,1,10,0.86,256,19604,0,22,26,20,5,2026,1,6,18,0,1,0,1,0,1,0,0,0,1,1,1,90,18,216.1,11111,1,0,31.9,1,1,1,672,0,1,1
5/20/2026 11:31,auto,1406000,0,0,110.4,36.9,10539,10459,83,4957,5044,-33,9.9,12,804,3.256,-4.95,-3.96,110.4,-0.774,-0.897,0.986,1.8,1,107.7,1.8,4.12,-2.4,-3.42,18.52043,73.856743,1,8,0.95,104,15789,0,23,26,20,5,2026,1,6,18,0,0,0,0,0,1,1,1,0,0,1,1,78,30,210.3,11011,1,0,31.4,1,1,0,702,0,0,8
5/20/2026 11:32,manual,1466000,0,0,90.4,29.4,10307,10168,95,4903,4924,8,11.7,12,705,3.388,4.51,-3.66,89.4,-0.561,-0.724,1.092,1.3,1,90.5,0.8,-4.17,-1.11,1.97,18.52043,73.856743,1,12,0.75,198,14429,0,24,26,20,5,2026,1,6,18,0,1,1,1,1,1,1,1,1,0,1,1,2,26,204.4,11010,1,0,27.9,1,0,1,732,1,0,5
5/20/2026 11:33,auto,1526000,0,0,95,25.4,10350,10471,88,4993,5076,31,7.7,12,577,4.039,-3.64,-3.11,92.9,-0.19,0.348,1.014,4,1,93.1,-1.3,-4.75,0.1,-1.91,18.52043,73.856743,1,7,1.88,122,44002,0,25,26,20,5,2026,1,6,18,0,0,1,0,1,1,1,1,0,0,1,1,58,3,189.5,100111,1,0,26.4,1,0,0,762,0,1,2
5/20/2026 11:34,manual,1586000,0,0,85,24.9,10367,10326,17,4968,4906,-7,4.8,12,422,3.701,2.42,-2.35,83.4,0.017,0.802,0.953,1.9,0,83.3,0.1,4.72,-2.23,-1.08,18.52043,73.856743,1,9,1.91,211,22210,0,26,26,20,5,2026,1,6,18,1,1,0,0,1,0,0,1,0,0,1,1,45,52,199.9,11010,1,0,26,1,0,1,792,1,1,5
5/20/2026 11:36,auto,1608000,0,0,78,25.2,10253,10133,26,5006,4928,-18,7.3,12,760,1.326,-2.38,-0.44,80.6,-0.109,-0.792,1.036,1.4,0,79.2,-0.9,-2.29,4.71,-3.06,18.52043,73.856743,1,9,0.97,107,36759,0,26,48,20,5,2026,1,6,18,0,1,1,0,1,1,0,1,0,0,1,1,10,77,196.6,100111,1,0,26.2,1,1,0,803,0,0,7
5/20/2026 11:37,auto,1608000,0,0,78,25.2,10253,10133,26,5006,4928,-18,7.3,12,760,1.326,-2.38,-0.44,80.6,-0.109,-0.792,1.036,1.4,0,79.2,-0.9,-2.29,4.71,-3.06,18.52043,73.856743,1,9,0.97,107,36759,0,26,48,20,5,2026,1,6,18,0,1,1,0,1,1,0,1,0,0,1,1,10,77,196.6,100111,1,0,26.2,1,1,0,803,0,0,7
5/20/2026 11:38,auto,1608000,0,0,78,25.2,10253,10133,26,5006,4928,-18,7.3,12,760,1.326,-2.38,-0.44,80.6,-0.109,-0.792,1.036,1.4,0,79.2,-0.9,-2.29,4.71,-3.06,18.52043,73.856743,1,9,0.97,107,36759,0,26,48,20,5,2026,1,6,18,0,1,1,0,1,1,0,1,0,0,1,1,10,77,196.6,100111,1,0,26.2,1,1,0,803,0,0,7
5/20/2026 11:39,auto,60000,0,0,118.2,39.1,10020,10046,90,4882,4930,5,16,12,476,4.885,-1.52,3.86,118.7,0.139,0.62,0.93,0.7,1,119.5,-0.2,-1.21,2.22,2.67,18.52043,73.856743,1,8,1.63,226,25448,0,1,0,20,5,2026,1,6,18,1,0,1,0,1,1,1,0,0,0,1,1,99,42,248.9,100000,1,0,35.9,1,0,1,29,0,1,0
5/20/2026 11:40,manual,120000,0,0,116.6,34,9939,10055,61,4817,4892,47,9.9,12,706,1.303,2.9,3.45,116.5,0.784,0.995,1.036,4.3,1,115.3,-1.8,4.9,3.49,-0.85,18.52043,73.856743,1,11,0.9,237,25824,0,2,0,20,5,2026,1,6,18,1,1,1,1,1,0,1,1,1,1,1,1,48,94,248.4,100100,1,0,30.3,1,0,0,59,0,0,5
5/20/2026 11:41,auto,180000,0,0,110.5,34.7,9969,9836,65,4839,4831,-49,7.6,12,669,4.668,-4.01,2.8,111,-0.335,-0.839,0.942,2.6,0,109.9,-0.9,0.13,-4.7,4.91,18.52043,73.856743,1,6,1.88,234,21882,0,3,0,20,5,2026,1,6,18,0,1,0,1,0,0,0,0,1,0,1,1,95,71,252.4,100110,1,0,27.5,1,0,0,89,0,0,0
5/20/2026 11:42,auto,240000,0,0,105.3,38.9,10065,10171,-86,4645,4635,27,12.1,12,444,4.298,4.73,1.95,104.5,0.007,-0.19,1.049,1.5,0,102.1,0.1,-4.93,-3.74,-2.01,18.52043,73.856743,1,6,0.56,144,13224,0,4,0,20,5,2026,1,6,18,0,1,1,1,1,0,0,0,1,0,1,1,47,41,255.6,100110,1,0,26.6,1,1,0,119,1,0,2
5/20/2026 11:43,manual,300000,0,0,117.3,38.6,10316,10511,-38,4557,4557,49,8.7,12,677,3.167,-5,0.96,115.8,-0.637,-0.769,1.048,0.9,0,115.9,0,-2.19,-1.25,-2.15,18.52043,73.856743,1,7,0.72,94,27203,0,5,0,20,5,2026,1,6,18,1,1,1,1,0,0,0,0,1,0,1,1,2,26,270.5,11000,1,0,27.6,1,1,0,149,1,0,9
5/20/2026 11:44,auto,360000,0,0,117.6,37.2,10441,10507,45,4562,4642,-44,4.3,12,879,1.956,4.79,-0.09,118.1,0.327,0.279,1.013,1.8,0,119.4,0.1,0.63,-4.49,-4.6,18.52043,73.856743,1,7,1.34,261,28411,0,6,0,20,5,2026,1,6,18,0,1,0,1,1,1,0,0,0,0,1,1,26,9,287.1,100110,1,0,25.7,1,1,1,179,1,0,6
5/20/2026 11:45,auto,420000,0,0,121.1,36.2,10265,10158,28,4614,4694,-38,0.4,12,451,2.122,-4.13,-1.13,120.7,0.528,0.728,0.924,4.6,0,123,0.3,4.35,4.79,-0.37,18.52043,73.856743,1,5,0.74,169,15523,0,7,0,20,5,2026,1,6,18,0,0,0,0,1,0,0,1,1,0,1,1,49,71,283.9,11000,1,0,20.7,1,1,0,209,1,1,0
5/20/2026 11:46,manual,480000,0,0,121.6,35.4,10271,10208,-61,4582,4527,43,0.1,12,778,3.528,3.08,-2.1,122.1,0.723,0.539,1.058,0.3,1,120.4,-1.7,1.57,-1.58,-2.71,18.52043,73.856743,1,7,0.98,190,46221,0,8,0,20,5,2026,1,6,18,0,0,1,0,0,1,1,1,1,1,1,1,26,26,279,100010,1,0,25.3,1,1,0,239,0,1,0
5/20/2026 11:47,manual,540000,0,0,123.8,30.2,10326,10467,-41,4652,4742,31,3.4,12,781,2.152,-1.73,-2.92,124.3,-0.702,0.183,0.924,4.4,1,124.9,-1.9,-2.28,3.85,-4.8,18.52043,73.856743,1,11,1.02,101,32877,0,9,0,20,5,2026,1,6,18,1,0,1,1,1,0,0,1,1,0,1,1,8,88,286.3,100100,1,0,28,1,0,1,269,0,1,4
5/20/2026 11:48,auto,600000,0,0,108.9,32.3,10183,10358,-17,4627,4658,-19,1.5,12,476,4.611,0.22,-3.54,108.5,-0.672,0.274,1.027,2.1,0,107.6,-1.1,4.84,2.37,-3.15,18.52043,73.856743,1,10,1.23,287,49229,0,10,0,20,5,2026,1,6,18,0,1,1,0,0,1,1,0,1,1,1,1,22,82,284.8,100110,1,0,25.2,1,1,0,299,1,1,9
5/20/2026 11:49,manual,660000,0,0,112.9,32.9,10182,10092,-40,4545,4462,-43,2.6,12,650,4.195,1.31,-3.9,114.3,-0.111,-0.141,1.032,3.9,1,113.5,1.1,-3.47,-2.2,4.75,18.52043,73.856743,1,12,0.51,137,47968,0,11,0,20,5,2026,1,6,18,0,0,1,1,1,0,0,0,0,1,1,1,89,69,285.9,100111,1,0,28.7,1,1,0,329,0,1,1
5/20/2026 11:52,auto,666000,0,0,115.4,29.9,10180,10049,44,4532,4503,35,2.6,12,484,4.402,-0.09,-1.95,113.2,-0.128,-0.388,1.026,2.1,1,114,-1.1,2.2,-1.26,-0.12,18.52043,73.856743,1,12,1.13,69,37255,0,11,6,20,5,2026,1,6,18,1,1,1,1,1,0,0,1,1,1,1,1,14,88,279.9,100010,1,0,29.8,1,1,0,332,0,0,1
5/20/2026 11:53,auto,666000,0,0,115.4,29.9,10180,10049,44,4532,4503,35,2.6,12,484,4.402,-0.09,-1.95,113.2,-0.128,-0.388,1.026,2.1,1,114,-1.1,2.2,-1.26,-0.12,18.52043,73.856743,1,12,1.13,69,37255,0,11,6,20,5,2026,1,6,18,1,1,1,1,1,0,0,1,1,1,1,1,14,88,279.9,100010,1,0,29.8,1,1,0,332,0,0,1
5/20/2026 11:54,auto,666000,0,0,115.4,29.9,10180,10049,44,4532,4503,35,2.6,12,484,4.402,-0.09,-1.95,113.2,-0.128,-0.388,1.026,2.1,1,114,-1.1,2.2,-1.26,-0.12,18.52043,73.856743,1,12,1.13,69,37255,0,11,6,20,5,2026,1,6,18,1,1,1,1,1,0,0,1,1,1,1,1,14,88,279.9,100010,1,0,29.8,1,1,0,332,0,0,1
5/20/2026 11:55,auto,666000,0,0,115.4,29.9,10180,10049,44,4532,4503,35,2.6,12,484,4.402,-0.09,-1.95,113.2,-0.128,-0.388,1.026,2.1,1,114,-1.1,2.2,-1.26,-0.12,18.52043,73.856743,1,12,1.13,69,37255,0,11,6,20,5,2026,1,6,18,1,1,1,1,1,0,0,1,1,1,1,1,14,88,279.9,100010,1,0,29.8,1,1,0,332,0,0,1
5/20/2026 11:56,auto,666000,0,0,115.4,29.9,10180,10049,44,4532,4503,35,2.6,12,484,4.402,-0.09,-1.95,113.2,-0.128,-0.388,1.026,2.1,1,114,-1.1,2.2,-1.26,-0.12,18.52043,73.856743,1,12,1.13,69,37255,0,11,6,20,5,2026,1,6,18,1,1,1,1,1,0,0,1,1,1,1,1,14,88,279.9,100010,1,0,29.8,1,1,0,332,0,0,1
5/20/2026 11:57,auto,666000,0,0,115.4,29.9,10180,10049,44,4532,4503,35,2.6,12,484,4.402,-0.09,-1.95,113.2,-0.128,-0.388,1.026,2.1,1,114,-1.1,2.2,-1.26,-0.12,18.52043,73.856743,1,12,1.13,69,37255,0,11,6,20,5,2026,1,6,18,1,1,1,1,1,0,0,1,1,1,1,1,14,88,279.9,100010,1,0,29.8,1,1,0,332,0,0,1
5/20/2026 11:58,auto,666000,0,0,115.4,29.9,10180,10049,44,4532,4503,35,2.6,12,484,4.402,-0.09,-1.95,113.2,-0.128,-0.388,1.026,2.1,1,114,-1.1,2.2,-1.26,-0.12,18.52043,73.856743,1,12,1.13,69,37255,0,11,6,20,5,2026,1,6,18,1,1,1,1,1,0,0,1,1,1,1,1,14,88,279.9,100010,1,0,29.8,1,1,0,332,0,0,1
5/20/2026 11:59,auto,666000,0,0,115.4,29.9,10180,10049,44,4532,4503,35,2.6,12,484,4.402,-0.09,-1.95,113.2,-0.128,-0.388,1.026,2.1,1,114,-1.1,2.2,-1.26,-0.12,18.52043,73.856743,1,12,1.13,69,37255,0,11,6,20,5,2026,1,6,18,1,1,1,1,1,0,0,1,1,1,1,1,14,88,279.9,100010,1,0,29.8,1,1,0,332,0,0,1
5/20/2026 12:00,auto,666000,0,0,115.4,29.9,10180,10049,44,4532,4503,35,2.6,12,484,4.402,-0.09,-1.95,113.2,-0.128,-0.388,1.026,2.1,1,114,-1.1,2.2,-1.26,-0.12,18.52043,73.856743,1,12,1.13,69,37255,0,11,6,20,5,2026,1,6,18,1,1,1,1,1,0,0,1,1,1,1,1,14,88,279.9,100010,1,0,29.8,1,1,0,332,0,0,1
5/20/2026 12:02,auto,666000,0,0,115.4,29.9,10180,10049,44,4532,4503,35,2.6,12,484,4.402,-0.09,-1.95,113.2,-0.128,-0.388,1.026,2.1,1,114,-1.1,2.2,-1.26,-0.12,18.52043,73.856743,1,12,1.13,69,37255,0,11,6,20,5,2026,1,6,18,1,1,1,1,1,0,0,1,1,1,1,1,14,88,279.9,100010,1,0,29.8,1,1,0,332,0,0,1
5/20/2026 12:03,auto,666000,0,0,115.4,29.9,10180,10049,44,4532,4503,35,2.6,12,484,4.402,-0.09,-1.95,113.2,-0.128,-0.388,1.026,2.1,1,114,-1.1,2.2,-1.26,-0.12,18.52043,73.856743,1,12,1.13,69,37255,0,11,6,20,5,2026,1,6,18,1,1,1,1,1,0,0,1,1,1,1,1,14,88,279.9,100010,1,0,29.8,1,1,0,332,0,0,1
5/20/2026 12:04,auto,666000,0,0,115.4,29.9,10180,10049,44,4532,4503,35,2.6,12,484,4.402,-0.09,-1.95,113.2,-0.128,-0.388,1.026,2.1,1,114,-1.1,2.2,-1.26,-0.12,18.52043,73.856743,1,12,1.13,69,37255,0,11,6,20,5,2026,1,6,18,1,1,1,1,1,0,0,1,1,1,1,1,14,88,279.9,100010,1,0,29.8,1,1,0,332,0,0,1
5/20/2026 12:05,auto,666000,0,0,115.4,29.9,10180,10049,44,4532,4503,35,2.6,12,484,4.402,-0.09,-1.95,113.2,-0.128,-0.388,1.026,2.1,1,114,-1.1,2.2,-1.26,-0.12,18.52043,73.856743,1,12,1.13,69,37255,0,11,6,20,5,2026,1,6,18,1,1,1,1,1,0,0,1,1,1,1,1,14,88,279.9,100010,1,0,29.8,1,1,0,332,0,0,1
5/20/2026 12:06,auto,666000,0,0,115.4,29.9,10180,10049,44,4532,4503,35,2.6,12,484,4.402,-0.09,-1.95,113.2,-0.128,-0.388,1.026,2.1,1,114,-1.1,2.2,-1.26,-0.12,18.52043,73.856743,1,12,1.13,69,37255,0,11,6,20,5,2026,1,6,18,1,1,1,1,1,0,0,1,1,1,1,1,14,88,279.9,100010,1,0,29.8,1,1,0,332,0,0,1
5/20/2026 12:07,auto,666000,0,0,115.4,29.9,10180,10049,44,4532,4503,35,2.6,12,484,4.402,-0.09,-1.95,113.2,-0.128,-0.388,1.026,2.1,1,114,-1.1,2.2,-1.26,-0.12,18.52043,73.856743,1,12,1.13,69,37255,0,11,6,20,5,2026,1,6,18,1,1,1,1,1,0,0,1,1,1,1,1,14,88,279.9,100010,1,0,29.8,1,1,0,332,0,0,1
5/20/2026 12:08,auto,666000,0,0,115.4,29.9,10180,10049,44,4532,4503,35,2.6,12,484,4.402,-0.09,-1.95,113.2,-0.128,-0.388,1.026,2.1,1,114,-1.1,2.2,-1.26,-0.12,18.52043,73.856743,1,12,1.13,69,37255,0,11,6,20,5,2026,1,6,18,1,1,1,1,1,0,0,1,1,1,1,1,14,88,279.9,100010,1,0,29.8,1,1,0,332,0,0,1
5/20/2026 12:09,auto,666000,0,0,115.4,29.9,10180,10049,44,4532,4503,35,2.6,12,484,4.402,-0.09,-1.95,113.2,-0.128,-0.388,1.026,2.1,1,114,-1.1,2.2,-1.26,-0.12,18.52043,73.856743,1,12,1.13,69,37255,0,11,6,20,5,2026,1,6,18,1,1,1,1,1,0,0,1,1,1,1,1,14,88,279.9,100010,1,0,29.8,1,1,0,332,0,0,1
5/20/2026 12:10,auto,666000,0,0,115.4,29.9,10180,10049,44,4532,4503,35,2.6,12,484,4.402,-0.09,-1.95,113.2,-0.128,-0.388,1.026,2.1,1,114,-1.1,2.2,-1.26,-0.12,18.52043,73.856743,1,12,1.13,69,37255,0,11,6,20,5,2026,1,6,18,1,1,1,1,1,0,0,1,1,1,1,1,14,88,279.9,100010,1,0,29.8,1,1,0,332,0,0,1
5/20/2026 12:11,auto,666000,0,0,115.4,29.9,10180,10049,44,4532,4503,35,2.6,12,484,4.402,-0.09,-1.95,113.2,-0.128,-0.388,1.026,2.1,1,114,-1.1,2.2,-1.26,-0.12,18.52043,73.856743,1,12,1.13,69,37255,0,11,6,20,5,2026,1,6,18,1,1,1,1,1,0,0,1,1,1,1,1,14,88,279.9,100010,1,0,29.8,1,1,0,332,0,0,1
5/20/2026 12:12,auto,666000,0,0,115.4,29.9,10180,10049,44,4532,4503,35,2.6,12,484,4.402,-0.09,-1.95,113.2,-0.128,-0.388,1.026,2.1,1,114,-1.1,2.2,-1.26,-0.12,18.52043,73.856743,1,12,1.13,69,37255,0,11,6,20,5,2026,1,6,18,1,1,1,1,1,0,0,1,1,1,1,1,14,88,279.9,100010,1,0,29.8,1,1,0,332,0,0,1
5/20/2026 12:13,auto,666000,0,0,115.4,29.9,10180,10049,44,4532,4503,35,2.6,12,484,4.402,-0.09,-1.95,113.2,-0.128,-0.388,1.026,2.1,1,114,-1.1,2.2,-1.26,-0.12,18.52043,73.856743,1,12,1.13,69,37255,0,11,6,20,5,2026,1,6,18,1,1,1,1,1,0,0,1,1,1,1,1,14,88,279.9,100010,1,0,29.8,1,1,0,332,0,0,1
5/20/2026 12:14,auto,666000,0,0,115.4,29.9,10180,10049,44,4532,4503,35,2.6,12,484,4.402,-0.09,-1.95,113.2,-0.128,-0.388,1.026,2.1,1,114,-1.1,2.2,-1.26,-0.12,18.52043,73.856743,1,12,1.13,69,37255,0,11,6,20,5,2026,1,6,18,1,1,1,1,1,0,0,1,1,1,1,1,14,88,279.9,100010,1,0,29.8,1,1,0,332,0,0,1
